NODE,NEIGHBORS,,,,,,,,,,,,,
A,F,O,H,J,C,N,P,I,R,B,K,T,D,M
B,A,P,I,K,T,D,M,F,H,Q,S,L,N,G
C,A,L,E,N,G,P,R,D,M,F,O,H,Q,S
D,A,B,C,N,G,R,K,T,M,O,Q,J,S,L
E,C,J,S,L,N,G,P,I,T,M,F,O,H,Q
F,A,B,C,E,K,T,M,O,H,Q,S,N,G,R
G,B,C,D,E,F,L,N,P,I,K,T,M,H,Q
H,A,B,C,E,F,G,R,M,J,L,S,N,P,I
I,A,B,E,G,H,J,S,L,N,P,R,K,T,Q
J,A,D,E,H,I,R,K,T,M,O,Q,S,L,P
K,A,B,D,F,G,I,J,P,R,T,M,O,Q,S
L,B,C,D,E,G,H,I,J,O,Q,P,R,T,M
M,A,B,C,D,E,F,G,H,J,K,L,S,N,O
N,A,B,C,D,E,F,G,H,I,M,R,T,O,Q
O,A,C,D,E,F,J,K,L,M,N,P,R,T,S
P,A,B,C,E,G,H,I,J,K,L,O,Q,S,R
Q,B,C,D,E,F,G,I,J,K,L,N,P,T,S
R,A,C,D,F,H,I,J,K,L,N,O,P,S,T
S,B,C,D,E,F,H,I,J,K,M,O,P,Q,R
T,A,B,D,E,F,G,I,J,K,L,N,O,Q,R
