NODE,NEIGHBORS,,,,,,,,,,,,,,,
A,O,H,J,C,S,L,E,N,G,P,I,R,B,T,D,M
B,A,P,I,K,T,D,M,F,O,H,Q,J,S,L,E,N
C,A,L,E,N,G,P,I,R,K,D,F,O,H,Q,J,S
D,A,B,C,N,G,R,K,T,F,O,H,Q,J,S,L,E
E,A,B,C,D,J,S,L,N,G,P,I,K,T,M,F,H
F,B,C,D,E,K,T,M,O,H,Q,L,N,G,P,I,R
G,A,C,D,E,F,S,L,I,R,K,T,M,O,H,Q,J
H,A,B,C,D,E,F,G,R,T,O,Q,J,S,N,P,I
I,A,B,C,E,F,G,H,J,S,L,N,R,K,M,O,Q
J,A,B,C,D,E,G,H,I,R,K,T,M,Q,S,N,P
K,B,C,D,E,F,G,I,J,P,R,T,M,O,Q,L,N
L,A,B,C,D,E,F,G,I,K,O,S,N,P,R,T,M
M,A,B,E,F,G,I,J,K,L,S,N,P,R,T,O,Q
N,A,B,C,D,E,F,H,I,J,K,L,M,R,Q,S,P
O,A,B,C,D,F,G,H,I,K,L,M,P,R,T,Q,S
P,A,B,C,E,F,H,J,K,L,M,N,O,Q,S,R,T
Q,B,C,D,F,G,H,I,J,K,M,N,O,P,R,T,S
R,A,C,D,F,G,H,I,J,K,L,M,N,O,P,Q,T
S,A,B,C,D,E,G,H,I,J,L,M,N,O,P,Q,T
T,A,B,D,E,F,G,H,J,K,L,M,O,P,Q,R,S
