NODE,NEIGHBORS,,,,,,,,,,,,,,,,,
A,F,O,H,Q,J,C,S,L,E,N,G,P,I,R,K,T,D,M
B,P,I,R,K,T,D,M,F,O,H,Q,J,S,C,L,E,N,G
C,A,B,L,E,G,P,I,R,K,T,D,M,F,O,H,Q,J,S
D,A,B,C,N,G,P,I,R,K,M,F,O,H,Q,J,S,L,E
E,A,B,C,D,J,S,L,N,G,P,I,R,K,T,M,O,H,Q
F,A,B,C,D,K,T,M,O,H,Q,J,S,L,N,G,P,I,R
G,A,B,C,D,E,F,S,L,N,P,I,R,K,T,M,H,Q,J
H,A,B,C,D,E,F,G,K,T,M,O,Q,J,L,S,N,P,I
I,A,B,C,D,E,F,G,H,J,S,L,N,P,R,T,M,O,Q
J,A,B,C,D,E,F,G,H,I,R,K,T,M,O,Q,S,N,P
K,A,B,C,D,E,F,G,H,J,P,R,T,M,O,Q,S,L,N
L,A,B,C,D,E,F,G,H,I,K,O,Q,S,N,P,R,T,M
M,A,B,C,D,E,F,G,H,I,J,K,L,S,N,R,T,O,Q
N,A,B,D,E,F,G,H,I,J,K,L,M,R,T,O,Q,S,P
O,A,B,C,D,E,F,H,I,J,K,L,M,N,P,R,T,Q,S
P,A,B,C,D,E,F,G,H,I,J,K,L,N,O,Q,S,R,T
Q,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,T
R,A,B,C,D,E,F,G,I,J,K,L,M,N,O,P,Q,S,T
S,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,T
T,A,B,C,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
